Cat חתול
Table שולחן
Sun שמש
Book ספר
Chair כיסא
Water מים
Tree עץ
Dog כלב
Window חלון
Moon ירח
Flower פרח
Sky שמיים
Door דלת
Fish דג
Coffee קפה
Hat כובע
House בית
Ball כדור
Music מוזיקה
Apple תפוח
Car רכב
Orange תפוז
Bed מיטה
Pen עט
Bird ציפור
Milk חלב
Shirt חולצה
Banana בננה
Chair כסא
Guitar גיטרה
Elephant פיל
Juice מיץ
Clock שעון
Hat כובע
Bread לחם
Shoes נעליים
Phone טלפון
Lemon לימון
Window חלון
Computer מחשב
Cake עוגה
Rain גשם
Table שולחן
Tomato עגבניה
Chair כיסא
Chocolate שוקולד
Carrot גזר
Bedspread מסכת מיטה
Plane מטוס
Candle נר
Lemonade לימונדה
Piano פסנתר
Elephant פיל
Soap סבון
Computer מחשב
Hat כובע
Strawberry תות
Window חלון
Ice cream גלידה
Book ספר
Shoes נעליים
Fish דג
Tablecloth מפת שולחן
Car רכב
Pencil עפרון
Orange תפוז
Chair כיסא
Chicken עוף
Bed מיטה
Juice מיץ
Clock שעון
Tomato עגבניה
Shirt חולצה
Banana בננה
Shoes נעליים
Cake עוגה
Bread לחם
Carrot גזר
Hat כובע
Ice cream גלידה
Lemonade לימונדה
Piano פסנתר
Fish דג
Strawberry תות
Window חלון
Orange תפוז
Computer מחשב
Tablecloth מפת שולחן
Pencil עפרון
Chicken עוף
Bedspread מסכת מיטה
Plane מטוס
Candle נר
Lemon לימון
Chair כיסא
Book ספר
Sun שמש
Bed מיטה
Water מים
Tree עץ
Dog כלב
Moon ירח
Flower פרח
Sky שמיים
Door דלת
Milk חלב
Shirt חולצה
Banana בננה
Guitar גיטרה
Juice מיץ
Clock שעון
Bread לחם
Phone טלפון
Tomato עגבניה
Chocolate שוקולד
Carrot גזר
Bedspread מסכת מיטה
Plane מטוס
Candle נר
Lemonade לימונדה
Piano פסנתר
Soap סבון
Computer מחשב
Hat כובע
Strawberry תות
Window חלון
Ice cream גלידה
Book ספר
Shoes נעליים
Fish דג
Tablecloth מפת שולחן
Car רכב
Pencil עפרון
Orange תפוז
Chair כיסא
Chicken עוף
Bedspread מסכת מיטה
Juice מיץ
Clock שעון
Tomato עגבניה
Shirt חולצה
Banana בננה
Shoes נעליים
Cake עוגה
Bread לחם
Carrot גזר
Hat כובע
Ice cream גלידה
Lemonade לימונדה
Piano פסנתר
Fish דג
Strawberry תות
Window חלון
Orange תפוז
Computer מחשב
Tablecloth מפת שולחן
Pencil עפרון
Chicken עוף
Bedspread מסכת מיטה
Plane מטוס
Candle נר
Lemon לימון
Chair כיסא
Book ספר
Sun שמש
Bed מיטה
Water מים
Tree עץ
Dog כלב
Moon ירח
Flower פרח
Sky שמיים
Door דלת
Milk חלב
Shirt חולצה
Banana בננה
Guitar גיטרה
Juice מיץ
Clock שעון
Bread לחם
Phone טלפון
Tomato עגבניה
Chocolate שוקולד
Carrot גזר
Bedspread מסכת מיטה
Plane מטוס
Candle נר
Lemonade לימונדה
Piano פסנתר
Soap סבון
Computer מחשב
Hat כובע
Strawberry תות
Window חלון
Ice cream גלידה
Book ספר
Shoes נעליים
Fish דג
Tablecloth מפת שולחן
Car רכב
